BGGEOID20,ACSyr,B19013_001E,B19013_001M
481677201001,2022,86840.0,33360.0
481677201002,2022,97431.0,46821.0
481677201003,2022,135179.0,72377.0
481677201004,2022,245658.0,26567.0
481677202001,2022,177045.0,23688.0
481677202002,2022,86333.0,17001.0
481677202003,2022,51266.0,2950.0
481677203011,2022,112250.0,72282.0
481677203012,2022,121799.0,24512.0
481677203021,2022,89821.0,58172.0
481677203022,2022,141121.0,51137.0
481677203023,2022,166250.0,33515.0
481677204001,2022,211731.0,40325.0
481677204002,2022,206042.0,55114.0
481677204003,2022,137500.0,40313.0
481677204004,2022,215859.0,112642.0
481677205011,2022,71336.0,13220.0
481677205012,2022,115455.0,72040.0
481677205013,2022,148049.0,79302.0
481677205014,2022,136625.0,21786.0
481677205041,2022,,
481677205042,2022,152670.0,66906.0
481677205051,2022,147961.0,67732.0
481677205052,2022,126892.0,15466.0
481677205053,2022,126859.0,69213.0
481677205061,2022,144976.0,6805.0
481677205062,2022,97314.0,56296.0
481677205063,2022,128572.0,13378.0
481677205071,2022,,
481677205072,2022,167531.0,61859.0
481677205073,2022,149457.0,20582.0
481677205081,2022,70417.0,26357.0
481677205082,2022,126990.0,75424.0
481677205091,2022,93750.0,23762.0
481677205092,2022,108924.0,26700.0
481677205093,2022,22552.0,11970.0
481677205101,2022,123938.0,28818.0
481677205102,2022,118860.0,1047.0
481677205103,2022,65625.0,5072.0
481677205111,2022,124837.0,37446.0
481677205112,2022,144375.0,33396.0
481677205121,2022,170625.0,61713.0
481677205122,2022,161347.0,4623.0
481677206011,2022,84567.0,23335.0
481677206012,2022,121836.0,34157.0
481677206021,2022,85420.0,27854.0
481677206022,2022,83805.0,44191.0
481677206031,2022,118854.0,70088.0
481677206032,2022,72477.0,7236.0
481677206033,2022,94457.0,78529.0
481677206041,2022,121617.0,18963.0
481677206042,2022,111118.0,48557.0
481677206051,2022,139850.0,8774.0
481677207011,2022,,
481677207012,2022,140833.0,43116.0
481677207013,2022,,
481677207021,2022,100457.0,16907.0
481677207022,2022,,
481677207023,2022,,
481677207024,2022,201422.0,19144.0
481677207031,2022,80417.0,45714.0
481677207032,2022,249985.0,115686.0
481677207033,2022,58324.0,18028.0
481677207034,2022,198778.0,53658.0
481677208001,2022,73528.0,33280.0
481677208002,2022,,
481677208003,2022,75172.0,15089.0
481677208004,2022,132734.0,9763.0
481677209001,2022,27112.0,18505.0
481677209002,2022,94340.0,25281.0
481677209003,2022,95357.0,65332.0
481677209004,2022,,
481677210001,2022,92833.0,80312.0
481677210002,2022,185000.0,96336.0
481677210003,2022,75958.0,31039.0
481677211011,2022,101015.0,6008.0
481677211012,2022,80559.0,57481.0
481677211021,2022,72593.0,22965.0
481677211022,2022,64786.0,23589.0
481677211023,2022,,
481677211031,2022,67007.0,22445.0
481677211032,2022,84103.0,51818.0
481677212031,2022,91241.0,18985.0
481677212032,2022,78527.0,13781.0
481677212041,2022,110446.0,83861.0
481677212042,2022,71760.0,46820.0
481677212043,2022,164271.0,103538.0
481677212051,2022,100083.0,51553.0
481677212052,2022,170037.0,112891.0
481677212053,2022,106083.0,41326.0
481677212054,2022,100262.0,19662.0
481677212061,2022,238758.0,18891.0
481677212062,2022,250001.0,-333333333.0
481677212063,2022,228629.0,108935.0
481677212071,2022,174653.0,101718.0
481677212072,2022,153250.0,22634.0
481677212073,2022,115240.0,103129.0
481677212081,2022,112917.0,27461.0
481677212091,2022,155139.0,37156.0
481677212101,2022,156981.0,27538.0
481677212102,2022,126806.0,51081.0
481677212103,2022,192008.0,68703.0
481677212104,2022,216902.0,29350.0
481677212111,2022,246429.0,85455.0
481677212112,2022,170815.0,31017.0
481677212113,2022,250001.0,-333333333.0
481677213011,2022,90878.0,26313.0
481677213012,2022,41538.0,21747.0
481677213013,2022,136563.0,62601.0
481677213021,2022,39716.0,19467.0
481677213022,2022,59425.0,11118.0
481677214011,2022,149338.0,70066.0
481677214012,2022,127467.0,51593.0
481677214021,2022,51842.0,16831.0
481677214031,2022,,
481677214032,2022,142331.0,27507.0
481677214033,2022,88664.0,8126.0
481677214034,2022,137708.0,69734.0
481677215011,2022,70475.0,38042.0
481677215012,2022,60969.0,9523.0
481677215013,2022,207054.0,64181.0
481677215021,2022,105268.0,61270.0
481677215022,2022,104491.0,44834.0
481677215023,2022,238077.0,199599.0
481677215031,2022,111691.0,17906.0
481677216001,2022,81354.0,13680.0
481677217011,2022,30718.0,4189.0
481677217012,2022,,
481677217013,2022,56617.0,13557.0
481677217021,2022,72721.0,41813.0
481677217022,2022,,
481677217031,2022,27307.0,16042.0
481677217032,2022,94375.0,63218.0
481677217033,2022,71068.0,47263.0
481677218001,2022,83190.0,56025.0
481677218002,2022,83681.0,54930.0
481677218003,2022,63011.0,37285.0
481677218004,2022,94417.0,16339.0
481677219011,2022,64093.0,20463.0
481677219012,2022,73551.0,7223.0
481677219021,2022,46291.0,12720.0
481677219022,2022,45905.0,13818.0
481677219023,2022,95789.0,31837.0
481677220011,2022,83801.0,13459.0
481677220012,2022,86724.0,36880.0
481677220013,2022,81579.0,21855.0
481677220021,2022,55714.0,19818.0
481677220022,2022,57389.0,30405.0
481677220023,2022,76042.0,36609.0
481677221001,2022,81091.0,25073.0
481677221002,2022,,
481677221003,2022,60833.0,14767.0
481677221004,2022,49589.0,19010.0
481677221005,2022,66000.0,58885.0
481677221006,2022,141926.0,58257.0
481677222001,2022,62621.0,52466.0
481677222002,2022,16973.0,13553.0
481677222003,2022,79946.0,16912.0
481677222004,2022,,
481677223001,2022,,
481677223002,2022,,
481677223003,2022,82802.0,43711.0
481677223004,2022,42178.0,18776.0
481677223005,2022,54778.0,30845.0
481677223006,2022,,
481677226001,2022,50000.0,12433.0
481677227001,2022,34032.0,15980.0
481677227002,2022,,
481677227003,2022,54118.0,14147.0
481677227004,2022,114474.0,44012.0
481677228001,2022,29500.0,22479.0
481677228002,2022,44598.0,19133.0
481677229001,2022,29725.0,17021.0
481677229002,2022,52134.0,21690.0
