tabblk2010,st,stusps,stname,cty,ctyname,trct,trctname,bgrp,bgrpname,cbsa,cbsaname,zcta,zctaname,stplc,stplcname,ctycsub,ctycsubname,stcd116,stcd116name,stsldl,stsldlname,stsldu,stslduname,stschool,stschoolname,stsecon,stseconname,trib,tribname,tsub,tsubname,stanrc,stanrcname,necta,nectaname,mil,milname,stwib,stwibname,blklatdd,blklondd,createdate
110010010016010,11,DC,District of Columbia,11001,"District of Columbia, DC",11001001001,"10.01 (District of Columbia, DC)",110010010016,"6 (Tract 10.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20016,20016,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11003,"Ward 3, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.9466927,-77.0916140,20190826
110010010016013,11,DC,District of Columbia,11001,"District of Columbia, DC",11001001001,"10.01 (District of Columbia, DC)",110010010016,"6 (Tract 10.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20016,20016,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11003,"Ward 3, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.9459108,-77.0916140,20190826
110010010016014,11,DC,District of Columbia,11001,"District of Columbia, DC",11001001001,"10.01 (District of Columbia, DC)",110010010016,"6 (Tract 10.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20016,20016,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11003,"Ward 3, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.9451606,-77.0916146,20190826
110010072002039,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007200,"72 (District of Columbia, DC)",110010072002,"2 (Tract 72, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20003,20003,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11006,"Ward 6, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8766505,-76.9943154,20190826
110010072002058,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007200,"72 (District of Columbia, DC)",110010072002,"2 (Tract 72, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20003,20003,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11006,"Ward 6, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8755069,-77.0090604,20190826
110010073011003,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007301,"73.01 (District of Columbia, DC)",110010073011,"1 (Tract 73.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20024,20024,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11008,"Ward 8, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8635120,-77.0086342,20190826
110010073011061,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007301,"73.01 (District of Columbia, DC)",110010073011,"1 (Tract 73.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20032,20032,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11008,"Ward 8, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8277575,-77.0223070,20190826
110010104002008,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007301,"73.01 (District of Columbia, DC)",110010073011,"1 (Tract 73.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20032,20032,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11008,"Ward 8, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8572134,-77.0045683,20190826
110010073011008,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007301,"73.01 (District of Columbia, DC)",110010073011,"1 (Tract 73.01, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20024,20024,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11008,"Ward 8, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8541734,-77.0204021,20190826
110010072002040,11,DC,District of Columbia,11001,"District of Columbia, DC",11001007200,"72 (District of Columbia, DC)",110010072002,"2 (Tract 72, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20003,20003,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11006,"Ward 6, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,,,11000001,01 District of Columbia WIB,38.8767842,-76.9931492,20190826
