"GEO_ID","NAME","B09002_001E","B09002_001M","B09002_002E","B09002_002M","B09002_003E","B09002_003M","B09002_004E","B09002_004M","B09002_005E","B09002_005M","B09002_006E","B09002_006M","B09002_007E","B09002_007M","B09002_008E","B09002_008M","B09002_009E","B09002_009M","B09002_010E","B09002_010M","B09002_011E","B09002_011M","B09002_012E","B09002_012M","B09002_013E","B09002_013M","B09002_014E","B09002_014M","B09002_015E","B09002_015M","B09002_016E","B09002_016M","B09002_017E","B09002_017M","B09002_018E","B09002_018M","B09002_019E","B09002_019M","B09002_020E","B09002_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In married-couple families","Margin of Error!!Total!!In married-couple families","Estimate!!Total!!In married-couple families!!Under 3 years","Margin of Error!!Total!!In married-couple families!!Under 3 years","Estimate!!Total!!In married-couple families!!3 and 4 years","Margin of Error!!Total!!In married-couple families!!3 and 4 years","Estimate!!Total!!In married-couple families!!5 years","Margin of Error!!Total!!In married-couple families!!5 years","Estimate!!Total!!In married-couple families!!6 to 11 years","Margin of Error!!Total!!In married-couple families!!6 to 11 years","Estimate!!Total!!In married-couple families!!12 to 17 years","Margin of Error!!Total!!In married-couple families!!12 to 17 years","Estimate!!Total!!In other families","Margin of Error!!Total!!In other families","Estimate!!Total!!In other families!!Male householder, no wife present","Margin of Error!!Total!!In other families!!Male householder, no wife present","Estimate!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!Under 3 years","Estimate!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!3 and 4 years","Estimate!!Total!!In other families!!Male householder, no wife present!!5 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!5 years","Estimate!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!6 to 11 years","Estimate!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Margin of Error!!Total!!In other families!!Male householder, no wife present!!12 to 17 years","Estimate!!Total!!In other families!!Female householder, no husband present","Margin of Error!!Total!!In other families!!Female householder, no husband present","Estimate!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!Under 3 years","Estimate!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!3 and 4 years","Estimate!!Total!!In other families!!Female householder, no husband present!!5 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!5 years","Estimate!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!6 to 11 years","Estimate!!Total!!In other families!!Female householder, no husband present!!12 to 17 years","Margin of Error!!Total!!In other families!!Female householder, no husband present!!12 to 17 years"
"0500000US48015","Austin County, Texas","6529","188","4915","378","618","152","442","130","386","134","1765","236","1704","238","1614","346","419","183","42","67","63","62","71","70","123","130","120","67","1195","359","146","108","211","206","45","55","294","137","499","233"
"0500000US48261","Kenedy County, Texas","163","116","153","115","69","55","16","26","0","13","41","43","27","38","10","9","0","13","0","13","0","13","0","13","0","13","0","13","10","9","0","13","0","13","0","13","5","8","5","6"
"0500000US48355","Nueces County, Texas","74831","1242","47453","1708","7059","487","4767","451","2322","418","16496","961","16809","935","27378","1798","5654","943","718","217","507","185","201","98","1805","459","2423","558","21724","1587","3520","502","2985","384","1116","317","7180","878","6923","697"
"0500000US48089","Colorado County, Texas","4360","254","2858","460","720","193","229","122","109","68","940","238","860","194","1502","387","482","220","83","72","30","53","0","25","168","102","201","107","1020","376","124","102","62","61","5","9","497","201","332","169"
"0500000US48409","San Patricio County, Texas","15308","501","10035","801","1316","233","1094","183","581","171","3521","381","3523","404","5273","720","1128","364","264","130","51","41","71","52","367","155","375","163","4145","674","658","221","472","174","197","116","1457","323","1361","351"
"0500000US48379","Rains County, Texas","1883","150","1408","178","131","65","209","86","62","52","542","146","464","151","475","136","239","97","44","44","20","26","47","31","83","44","45","49","236","97","39","34","30","34","0","21","73","37","94","58"
"0500000US48381","Randall County, Texas","28836","551","22261","855","3835","364","2511","283","1357","313","7791","542","6767","447","6575","700","1312","344","84","64","214","148","55","51","475","160","484","159","5263","637","638","203","595","229","351","156","1707","289","1972","336"
"0500000US48385","Real County, Texas","520","140","222","104","33","24","28","25","0","13","73","58","88","72","298","102","126","91","33","24","25","31","0","13","19","26","49","62","172","97","36","28","34","34","36","35","43","35","23","29"
"0500000US48411","San Saba County, Texas","1026","64","788","120","98","33","96","43","21","22","271","65","302","77","238","97","88","63","16","21","15","25","0","19","15","20","42","29","150","78","32","32","30","42","0","19","49","35","39","33"
