"GEO_ID","NAME","B11005_001E","B11005_001M","B11005_002E","B11005_002M","B11005_003E","B11005_003M","B11005_004E","B11005_004M","B11005_005E","B11005_005M","B11005_006E","B11005_006M","B11005_007E","B11005_007M","B11005_008E","B11005_008M","B11005_009E","B11005_009M","B11005_010E","B11005_010M","B11005_011E","B11005_011M","B11005_012E","B11005_012M","B11005_013E","B11005_013M","B11005_014E","B11005_014M","B11005_015E","B11005_015M","B11005_016E","B11005_016M","B11005_017E","B11005_017M","B11005_018E","B11005_018M","B11005_019E","B11005_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Households with one or more people under 18 years","Margin of Error!!Total!!Households with one or more people under 18 years","Estimate!!Total!!Households with one or more people under 18 years!!Family households","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Married-couple family","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Married-couple family","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with one or more people under 18 years!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Male householder","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Male householder","Estimate!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Female householder","Margin of Error!!Total!!Households with one or more people under 18 years!!Nonfamily households!!Female householder","Estimate!!Total!!Households with no people under 18 years","Margin of Error!!Total!!Households with no people under 18 years","Estimate!!Total!!Households with no people under 18 years!!Family households","Margin of Error!!Total!!Households with no people under 18 years!!Family households","Estimate!!Total!!Households with no people under 18 years!!Family households!!Married-couple family","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Married-couple family","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with no people under 18 years!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with no people under 18 years!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households!!Male householder","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households!!Male householder","Estimate!!Total!!Households with no people under 18 years!!Nonfamily households!!Female householder","Margin of Error!!Total!!Households with no people under 18 years!!Nonfamily households!!Female householder"
"0500000US48015","Austin County, Texas","11041","319","3607","323","3607","323","2736","274","871","197","238","92","633","175","0","25","0","25","0","25","7434","342","4653","304","3970","268","683","162","173","89","510","145","2781","367","1273","218","1508","264"
"0500000US48261","Kenedy County, Texas","209","56","67","42","67","42","57","42","10","9","0","13","10","9","0","13","0","13","0","13","142","54","87","48","30","28","57","38","8","13","49","34","55","31","13","15","42","30"
"0500000US48355","Nueces County, Texas","128926","1128","44225","1257","43802","1238","26316","1002","17486","882","4257","499","13229","775","423","168","364","163","59","66","84701","1320","43585","983","32796","964","10789","680","3974","428","6815","579","41116","1279","20171","928","20945","974"
"0500000US48089","Colorado County, Texas","7511","312","2102","218","2100","218","1404","196","696","163","211","88","485","157","2","6","2","6","0","25","5409","285","3147","261","2616","243","531","164","102","59","429","155","2262","300","989","191","1273","233"
"0500000US48409","San Patricio County, Texas","23121","477","9077","483","9003","470","5700","434","3303","360","797","186","2506","330","74","63","74","63","0","31","14044","465","8075","453","6380","352","1695","274","743","189","952","200","5969","475","3088","299","2881","339"
"0500000US48379","Rains County, Texas","4331","174","1222","147","1222","147","854","145","368","109","171","71","197","79","0","21","0","21","0","21","3109","188","1816","172","1600","170","216","76","73","39","143","57","1293","193","566","133","727","140"
"0500000US48381","Randall County, Texas","49187","521","16550","675","16405","679","11864","555","4541","447","935","195","3606","394","145","77","90","50","55","64","32637","757","17451","562","14694","604","2757","363","826","228","1931","268","15186","653","6889","478","8297","542"
"0500000US48385","Real County, Texas","1227","155","220","75","218","75","92","52","126","54","28","21","98","54","2","3","2","3","0","13","1007","165","478","106","421","97","57","35","10","19","47","28","529","142","220","93","309","93"
"0500000US48411","San Saba County, Texas","2104","142","607","110","579","107","399","94","180","85","92","72","88","49","28","31","28","31","0","19","1497","129","753","109","641","93","112","61","60","49","52","31","744","149","424","117","320","72"
